"filename", "language", "Markdown", "YAML", "JavaScript", "JSON", "TypeScript JSX", "TypeScript", "PostCSS", "JSON with Comments", "HTML", "Ignore", "comment", "blank", "total"
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/FormSubmit/FormSubmit.tsx", "TypeScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/KeyboardShortcutsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 425, 0, 0, 0, 0, 0, 0, 14, 439
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/Login/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 1, 11, 91
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/NotificationSettingsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 2, 13, 153
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/pages/UserSettingsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 215, 0, 0, 0, 0, 0, 6, 13, 234
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/routes/formRoutes.tsx", "TypeScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/routes/index.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/routes/protectedRoutes.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/routes/publicRoutes.tsx", "TypeScript JSX", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 1, 23
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/routes/settingsRoutes.tsx", "TypeScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 1, 28
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/styles/font-theme.css", "PostCSS", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 5, 6, 80
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/styles/form-theme.css", "PostCSS", 0, 0, 0, 0, 0, 0, 557, 0, 0, 0, 69, 49, 675
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/styles/index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 135, 0, 0, 0, 1, 12, 148
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/src/styles/theming-page.css", "PostCSS", 0, 0, 0, 0, 0, 0, 264, 0, 0, 0, 21, 21, 306
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/tsconfig.app.json", "JSON", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 2, 3, 33
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/tsconfig.node.json", "JSON", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 2, 3, 27
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/vercel.json", "JSON", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/sathvik/wayne/fox/No-Code-Form-Builder-And-Workflow/frontend/vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 2, 15
"Total", "-", 446, 76, 3624, 18475, 17602, 4448, 1025, 13, 27, 7, 2925, 3243, 51911
